"name","steam_appid","required_age","is_free","number_dlc","developers","publishers","price_currency","price_initial","price_final","windows","mac","linux","metacritic_score","categories","genres","recommendations_total","achievements_total","release_date"
"TAXINAUT",2082260,0,False,"","mosgrom","mosgrom","CAD","24.99","24.99",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing","Adventure;Indie;RPG;Simulation;Early Access","",14,"15 Sep, 2022"
"Ancient Rituals: Stonehenge",1517170,0,False,"","Mekan Space Experience Design Studio","Mekan Space Experience Design Studio","","","",True,False,False,"","Single-player;Steam Achievements;Captions available;Family Sharing","Casual;Indie","","","Coming soon"
"Red Colony 3 Uncensored",1799590,0,False,"","RunicCodes","RunicCodes;Shinyuden","CAD","11.49","11.49",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Action;Adventure;Casual;Indie","",18,"17 Mar, 2022"
"Exer Gale",2078200,0,False,"","CHARK Studio","CHARK Studio","","","",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Family Sharing","Action;Casual;Racing","","","Coming soon"
"Asteroids and more asteroids",2124460,0,False,"","Phantom Project","Phantom Project","CAD","1.29","1.29",True,False,False,"","Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Family Sharing","Casual;Indie","",11,"30 Sep, 2022"
"LUXO Buddies",906360,0,False,1,"Myarcadegames Studios","Myarcadegames Studios","CAD","2.59","2.59",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;RPG;Simulation;Sports;Strategy","","","11 Aug, 2018"
"TouHouDewValley",2551210,0,False,"","DebugJk","DebugJk","CAD","4.99","4.99",True,False,False,"","Single-player;Family Sharing","Action;Adventure;RPG","","","28 Aug, 2023"
"Amaranthine Voyage: The Shadow of Torment Collector's Edition",796080,0,False,"","Eipix Entertainment","Big Fish Games","CAD","11.49","11.49",True,False,False,"","Single-player;Family Sharing","Adventure;Casual","","","12 Feb, 2018"
"WaterMelon Mosikkaeng",2704070,0,False,"","Snoflo","Snoflo","CAD","1.29","1.29",True,False,False,"","Single-player;Full controller support;Family Sharing","Casual;Indie","",2,"20 Jan, 2024"
"Dark Strokes: The Legend of the Snow Kingdom Collector’s Edition",765690,0,False,"","Alawar Friday's Games","Alawar Casual","CAD","10.29","10.29",True,False,False,"","Single-player;Steam Cloud;Family Sharing","Adventure;Casual;Indie","","","20 Dec, 2017"
"Delirium VR",1046670,0,True,"","Night Whale","Night Whale","","","",True,False,False,"","Single-player;Tracked Controller Support;VR Only","Adventure;Indie","","","26 Mar, 2019"
"Nofrills Solitaire",1342270,0,False,"","CouchFox Games","CouchFox Games","CAD","2.59","2.59",True,True,False,"","Single-player;Steam Achievements;Partial Controller Support;Family Sharing","Casual;Indie","",43,"24 Jun, 2020"
"Liegecraft",1503170,0,False,"","From Chaos","From Chaos","","","",True,False,False,"","Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor;Family Sharing","Indie;RPG;Strategy;Early Access","","","2025"
"VillageBlade",1892430,0,False,"","PlasmaBrain Studios","Dystopian Edge Publishing","CAD","13.49","13.49",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;Strategy","","","16 Feb, 2022"
"Guerra Sangrenta",2489880,0,True,"","Wizard Games Global Limited","Wizard Games Global Limited","","","",True,False,False,"","PvP;Online PvP","Action;Free To Play","","","8 Oct, 2023"
"Light On",2316640,0,False,"","indigo game production","indigo game production","","","",True,True,True,"","Single-player;Steam Achievements;Family Sharing","Adventure;Casual;Indie;Strategy","","","Coming soon"
