,name,steam_appid,required_age,is_free,number_dlc,developers,publishers,price_currency,price_initial,price_final,windows,mac,linux,metacritic_score,categories,genres,recommendations_total,achievements_total,release_date,0,total_news,total_patches
0,FLOWorlds Playtest,3557900.0,0.0,False,,,,,,,True,False,False,,,,,,"23 May, 2025",,,
74,Butterfly Dream Playtest,3116140.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Nov, 2024",,,
109,Total Vengeance Playtest,2687580.0,0.0,False,,,,,,,True,False,False,,,,,,"15 Nov, 2023",,,
120,Leaf Blower Co. Playtest,3654790.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
157,Underquest Playtest,3239680.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Feb, 2025",,,
190,Warp Factory Playtest,1628730.0,0.0,False,,,,,,,True,False,False,,,,,,"6 May, 2021",,,
204,Teamcrafter Playtest,3437800.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Jan, 2025",,,
273,Paws and Leaves - A Thracian Tale Playtest,1885600.0,0.0,False,,,,,,,True,False,False,,,,,,"24 Jan, 2022",,,
328,DEATHGRIP Playtest,1754540.0,0.0,False,,,,,,,True,False,False,,,,,,"7 Dec, 2021",,,
459,Fortress VR Playtest,2259720.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"15 Feb, 2023",,,
464,World Auto Racing Playtest,2603530.0,0.0,False,,,,,,,True,False,False,,,,,,"16 Aug, 2024",,,
473,Into The Void Playtest,2873710.0,0.0,False,,,,,,,True,False,False,,,,,,"12 Mar, 2024",,,
509,Odania Sports Arena Playtest,2210850.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"9 Nov, 2022",,,
517,Tiny Dungeons Playtest,2443460.0,0.0,False,,,,,,,True,False,False,,,,,,"23 May, 2023",,,
536,Office After Hours Playtest,3396530.0,0.0,False,,,,,,,True,False,False,,,,,,"18 Dec, 2024",,,
639,POLYARIS Playtest,3142880.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Dec, 2024",,,
778,Bus Flipper Simulator Playtest,2174660.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Feb, 2025",,,
808,宗门志 Playtest,3092370.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Jul, 2024",,,
869,The Deadly Path Playtest,2643710.0,0.0,False,,,,,,,True,False,False,,,,,,"18 Oct, 2024",,,
1025,ZOE Begone! Playtest,2931360.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Apr, 2024",,,
1092,ILL SPACE Playtest,1749220.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Sep, 2021",,,
1096,Squirmish Playtest,2826320.0,0.0,False,,,,,,,True,False,False,,,,,,"19 Feb, 2024",,,
1285,Draken Playtest,1849500.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Dec, 2021",,,
1297,Shotgun Shenanigans Playtest,2192370.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Nov, 2022",,,
1399,A Long Journey to an Uncertain End Playtest,2347370.0,0.0,False,,,,,,,True,False,False,,,,,,"13 Mar, 2023",,,
1414,The Last Citadel Playtest,2008890.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Nov, 2022",,,
1433,Water Maid Playtest,3236760.0,0.0,False,,,,,,,True,False,False,,,,,,"28 Oct, 2024",,,
1435,Titan Force Playtest,2374080.0,0.0,False,,,,,,,True,False,False,,,,,,"17 Jul, 2025",,,
1439,银河模拟器2：星门 Playtest,3718100.0,0.0,False,,,,,,,True,False,False,,,,,,"13 May, 2025",,,
1496,Nautical Survival Playtest,3047160.0,0.0,False,,,,,,,True,False,False,,,,,,"7 Dec, 2024",,,
1520,Farming Playtest,3122330.0,0.0,False,,,,,,,True,False,False,,,,,,"30 Jul, 2024",,,
1565,Truck Mechanic: Dangerous Paths - Prologue Playtest,1827420.0,0.0,False,,,,,,,True,False,False,,,,,,"15 Apr, 2022",,,
1597,Black Dragon Mage Playtest,2539430.0,0.0,False,,,,,,,True,False,False,,,,,,"1 Aug, 2023",,,
1649,Sword Reverie Playtest,1854560.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"27 Dec, 2021",,,
1676,To Pixelia Playtest,3526210.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Mar, 2025",,,
1788,Test Dummy Takedown Playtest,3130460.0,0.0,False,,,,,,,True,False,False,,,,,,"30 Jul, 2024",,,
1830,镇邪Ⅱ Playtest,3672450.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Apr, 2025",,,
1861,The B.L.O.O.M Initiative Playtest,3635580.0,0.0,False,,,,,,,True,False,False,,,,,,,,,
1888,Ship Graveyard Simulator 2 Playtest,2567570.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Dec, 2023",,,
2096,First Dwarf Playtest,2852880.0,0.0,False,,,,,,,True,False,False,,,,,,"19 May, 2024",,,
